Date,Event_Type,Description,Category,Sport,Opponent,Location,Result,Year,Month,Weekday,Is_Weekend
2025-04-11,HOME_GAME,,Sports,BASEBALL,NEBRASKA,"Iowa City, Iowa",W 1-0,2025,4,Friday,False
2025-04-12,HOME_GAME,,Sports,BASEBALL,NEBRASKA,"Iowa City, Iowa",W 11-6,2025,4,Saturday,True
2025-04-13,HOME_GAME,,Sports,BASEBALL,NEBRASKA,"Iowa City, Iowa",L 4-6,2025,4,Sunday,True
2025-04-16,HOME_GAME,,Sports,BASEBALL,BRADLEY,"Iowa City, Iowa",W 12-5,2025,4,Wednesday,False
2025-04-22,HOME_GAME,,Sports,BASEBALL,WESTERN ILLINOIS,"Iowa City, Iowa",L 3-7,2025,4,Tuesday,False
2025-04-23,HOME_GAME,,Sports,BASEBALL,ST. THOMAS,"Iowa City, Iowa",W 15-5,2025,4,Wednesday,False
2025-04-25,HOME_GAME,,Sports,BASEBALL,INDIANA,"Iowa City, Iowa",W 2-1,2025,4,Friday,False
2025-04-26,HOME_GAME,,Sports,BASEBALL,INDIANA,"Iowa City, Iowa",W 13-2,2025,4,Saturday,True
2025-04-27,HOME_GAME,,Sports,BASEBALL,INDIANA,"Iowa City, Iowa",W 10-0,2025,4,Sunday,True
2025-04-29,HOME_GAME,,Sports,BASEBALL,ILLINOIS STATE,"Iowa City, Iowa",L 5-6,2025,4,Tuesday,False
2025-05-09,CLASS_END,Close of Classes,Academic,,,,,2025,5,Friday,False
2025-05-12,FINALS_START,Final Examination Week Start,Academic,,,,,2025,5,Monday,False
2025-05-15,HOME_GAME,,Sports,BASEBALL,#5 OREGON,"Iowa City, Iowa",L 0-10,2025,5,Thursday,False
2025-05-15,COMMENCEMENT_START,Commencement ceremonies Start,Academic,,,,,2025,5,Thursday,False
2025-05-16,FINALS_END,Final Examination Week End,Academic,,,,,2025,5,Friday,False
