# Iowa Hawkeyes Sports Events (2020-2025)
# Format: DATE | SPORT | OPPONENT | LOCATION | RESULT | EVENT_TYPE

# Baseball 2020-21 Season
2023-10-07 | FOOTBALL | PURDUE | Iowa City, Iowa | W 20-14 | HOME_GAME
2023-10-21 | FOOTBALL | MINNESOTA | Iowa City, Iowa | L 10-12 | HOME_GAME
2023-11-11 | FOOTBALL | RUTGERS | Iowa City, Iowa | W 22-0 | HOME_GAME
2023-11-18 | FOOTBALL | ILLINOIS | Iowa City, Iowa | W 15-13 | HOME_GAME

# Football 2024-25 Season
2024-08-31 | FOOTBALL | ILLINOIS STATE | Iowa City, Iowa | W 40-0 | HOME_GAME
2024-09-07 | FOOTBALL | IOWA STATE | Iowa City, Iowa | L 19-20 | HOME_GAME
2024-09-14 | FOOTBALL | TROY | Iowa City, Iowa | W 38-21 | HOME_GAME
2024-10-12 | FOOTBALL | WASHINGTON | Iowa City, Iowa | W 40-16 | HOME_GAME
2024-10-26 | FOOTBALL | NORTHWESTERN | Iowa City, Iowa | W 40-14 | HOME_GAME
2024-11-02 | FOOTBALL | WISCONSIN | Iowa City, Iowa | W 42-10 | HOME_GAME
2024-11-29 | FOOTBALL | NEBRASKA | Iowa City, Iowa | W 13-10 | HOME_GAME

# Men's Basketball 2020-21 Season
2020-11-25 | BASKETBALL | NORTH CAROLINA CENTRAL | Iowa City, Iowa | W 97-67 | HOME_GAME
2020-11-27 | BASKETBALL | SOUTHERN | Iowa City, Iowa | W 103-76 | HOME_GAME
2020-12-03 | BASKETBALL | WESTERN ILLINOIS | Iowa City, Iowa | W 99-58 | HOME_GAME
2020-12-08 | BASKETBALL | #16 NORTH CAROLINA | Iowa City, IA | W 93-80 | HOME_GAME
2020-12-11 | BASKETBALL | IOWA STATE | Iowa City, Iowa | W 105-77 | HOME_GAME
2020-12-13 | BASKETBALL | NORTHERN ILLINOIS | Iowa City, Iowa | W 106-53 | HOME_GAME
2020-12-22 | BASKETBALL | PURDUE | Iowa City, Iowa | W 70-55 | HOME_GAME
2020-12-29 | BASKETBALL | #19 NORTHWESTERN | Iowa City, Iowa | W 87-72 | HOME_GAME
2021-01-10 | BASKETBALL | #16 MINNESOTA | Iowa City, Iowa | W 86-71 | HOME_GAME
2021-01-21 | BASKETBALL | INDIANA | Iowa City, Iowa | L 69-81 | HOME_GAME
2021-02-02 | BASKETBALL | MICHIGAN STATE | Iowa City, Iowa | W 84-78 | HOME_GAME
2021-02-04 | BASKETBALL | #7 OHIO STATE | Iowa City, Iowa | L 85-89 | HOME_GAME
2021-02-10 | BASKETBALL | #25 RUTGERS | Iowa City, Iowa | W 79-66 | HOME_GAME
2021-02-21 | BASKETBALL | PENN STATE | Iowa City, Iowa | W 74-68 | HOME_GAME
2021-03-04 | BASKETBALL | NEBRASKA | Iowa City, Iowa | W 102-64 | HOME_GAME
2021-03-07 | BASKETBALL | #25 WISCONSIN | Iowa City, Iowa | W 77-73 | HOME_GAME

# Men's Basketball 2021-22 Season
2021-11-05 | BASKETBALL | SLIPPERY ROCK | Iowa City, IA | W 99-47 | HOME_GAME
2021-11-09 | BASKETBALL | LONGWOOD | Iowa City, Iowa | W 106-73 | HOME_GAME
2021-11-12 | BASKETBALL | KANSAS CITY | Iowa City, IA | W 89-57 | HOME_GAME
